verb,count,percent
説明できる,869,43.32003988035893
概説できる,298,14.855433698903289
できる,47,2.3429710867397806
列挙できる,44,2.1934197407776668
実施できる,28,1.3958125623130608
参加する,27,1.3459621136590227
学ぶ,23,1.1465603190428715
理解する,21,1.0468594217347957
たどる,20,0.9970089730807578
わかる,19,0.9471585244267198
解釈できる,12,0.5982053838484547
介助する,10,0.4985044865403789
症,10,0.4985044865403789
腹痛,7,0.3489531405782652
心不全,6,0.29910269192422734
うつ病,6,0.29910269192422734
分類できる,5,0.24925224327018944
発熱,5,0.24925224327018944
脳出血,5,0.24925224327018944
獲得する,5,0.24925224327018944
肺癌,5,0.24925224327018944
炎症性腸疾患,5,0.24925224327018944
悪心・嘔吐,5,0.24925224327018944
全身性エリテマトーデス<SLE>,5,0.24925224327018944
例示できる,5,0.24925224327018944
貧血,4,0.19940179461615154
異常,4,0.19940179461615154
咳・痰,4,0.19940179461615154
呼吸困難・息切れ,4,0.19940179461615154
浮腫,4,0.19940179461615154
判断できる,4,0.19940179461615154
尿路感染症,4,0.19940179461615154
作成できる,4,0.19940179461615154
測定できる,4,0.19940179461615154
全身倦怠感,4,0.19940179461615154
参加できる,4,0.19940179461615154
行える,4,0.19940179461615154
実践できる,4,0.19940179461615154
配慮できる,4,0.19940179461615154
尿,4,0.19940179461615154
図示できる,4,0.19940179461615154
腸閉塞,4,0.19940179461615154
発疹,4,0.19940179461615154
糖尿病,4,0.19940179461615154
くも膜下出血,4,0.19940179461615154
けいれん,4,0.19940179461615154
：脊髄損傷,4,0.19940179461615154
意識障害・失神,4,0.19940179461615154
結核,4,0.19940179461615154
評価できる,4,0.19940179461615154
めまい,4,0.19940179461615154
腹部膨隆（腹水を含む）・膨満・腫瘤,4,0.19940179461615154
アルコール依存症,4,0.19940179461615154
急性膵炎,4,0.19940179461615154
観察できる,4,0.19940179461615154
ショック,4,0.19940179461615154
パニック障害,4,0.19940179461615154
黄疸,4,0.19940179461615154
脳梗塞,3,0.14955134596211367
熱中症,3,0.14955134596211367
>,3,0.14955134596211367
吐血・下血,3,0.14955134596211367
急性大動脈解離,3,0.14955134596211367
胸水,3,0.14955134596211367
脱水,3,0.14955134596211367
急性心筋梗塞,3,0.14955134596211367
運動麻痺・筋力低下,3,0.14955134596211367
肺炎,3,0.14955134596211367
過敏性腸症候群,3,0.14955134596211367
消化性潰瘍,3,0.14955134596211367
腎細胞癌,3,0.14955134596211367
便秘・下痢・血便,3,0.14955134596211367
腫瘍：悪性腫瘍全般,3,0.14955134596211367
リンパ節腫脹,3,0.14955134596211367
確認できる,3,0.14955134596211367
緊張性気胸,3,0.14955134596211367
急性消化管出血,3,0.14955134596211367
大腸癌,3,0.14955134596211367
悪性腫瘍全般,3,0.14955134596211367
行う,3,0.14955134596211367
築くことができる,2,0.09970089730807577
胸痛・胸部圧迫感,2,0.09970089730807577
<COPD>,2,0.09970089730807577
機能性ディスペプシア<FD>,2,0.09970089730807577
検索することができる,2,0.09970089730807577
実行できる,2,0.09970089730807577
実践,2,0.09970089730807577
椎間板ヘルニア,2,0.09970089730807577
血痰・喀血,2,0.09970089730807577
薬物依存症,2,0.09970089730807577
得る,2,0.09970089730807577
膵癌,2,0.09970089730807577
急性冠症候群,2,0.09970089730807577
腰背部痛,2,0.09970089730807577
腫瘍：悪性リンパ腫,2,0.09970089730807577
抽出できる,2,0.09970089730807577
尿路結石,2,0.09970089730807577
参加・貢献する,2,0.09970089730807577
記録できる,2,0.09970089730807577
不振,2,0.09970089730807577
頭痛,2,0.09970089730807577
頭痛・頭重感,2,0.09970089730807577
作る,2,0.09970089730807577
体験する,2,0.09970089730807577
食道静脈瘤,2,0.09970089730807577
骨髄腫,2,0.09970089730807577
不整脈,2,0.09970089730807577
高める,2,0.09970089730807577
肝硬変,2,0.09970089730807577
ネフローゼ症候群,2,0.09970089730807577
ウイルス性発疹症（麻疹）,2,0.09970089730807577
ウイルス性発疹症（風疹）,2,0.09970089730807577
白血病,2,0.09970089730807577
アナフィラキシー,2,0.09970089730807577
する）,2,0.09970089730807577
立てることができる,2,0.09970089730807577
障害,2,0.09970089730807577
頭部外傷,2,0.09970089730807577
関節痛・関節腫脹,2,0.09970089730807577
述べることができる,2,0.09970089730807577
胆石症,2,0.09970089730807577
肺結核,2,0.09970089730807577
呼吸器：肺塞栓症,2,0.09970089730807577
関節リウマチ,2,0.09970089730807577
双極性障害,2,0.09970089730807577
参画できる,2,0.09970089730807577
身体症状症,2,0.09970089730807577
熱傷,2,0.09970089730807577
肺塞栓症,2,0.09970089730807577
肝炎,1,0.049850448654037885
脳病変：脳出血,1,0.049850448654037885
胸痛,1,0.049850448654037885
糖尿病腎症,1,0.049850448654037885
肥満・やせ,1,0.049850448654037885
糸球体腎炎症候群,1,0.049850448654037885
脳病変：脳梗塞,1,0.049850448654037885
経皮的酸素飽和度モニターの目的と適応を説明し、結果を解釈できる,1,0.049850448654037885
絨毛性疾患（胞状奇胎、絨毛癌）,1,0.049850448654037885
胸膜中皮腫,1,0.049850448654037885
胃癌,1,0.049850448654037885
網膜芽細胞腫,1,0.049850448654037885
緊張型頭痛,1,0.049850448654037885
脳炎,1,0.049850448654037885
胆管炎,1,0.049850448654037885
脊柱管狭窄症,1,0.049850448654037885
脊髄損傷,1,0.049850448654037885
肝癌,1,0.049850448654037885
緑内障,1,0.049850448654037885
脊椎圧迫骨折,1,0.049850448654037885
脳原発性：頭蓋内血腫,1,0.049850448654037885
脳症,1,0.049850448654037885
脳原発性：くも膜下出血,1,0.049850448654037885
考えることができる,1,0.049850448654037885
脳病変：頭蓋内血腫,1,0.049850448654037885
解決できる,1,0.049850448654037885
腎・泌尿器：ネフローゼ症候群,1,0.049850448654037885
鼠径ヘルニア,1,0.049850448654037885
遺伝医学関連情報にアクセスすることができる,1,0.049850448654037885
配ることができる,1,0.049850448654037885
配慮することができる,1,0.049850448654037885
間質性肺疾患,1,0.049850448654037885
関節腫脹,1,0.049850448654037885
防御能を説明できる,1,0.049850448654037885
頭蓋内血腫,1,0.049850448654037885
食中毒,1,0.049850448654037885
食道癌,1,0.049850448654037885
骨折,1,0.049850448654037885
骨肉腫,1,0.049850448654037885
髄膜炎,1,0.049850448654037885
）を説明できる,1,0.049850448654037885
腫瘤：卵巣嚢腫,1,0.049850448654037885
：ネフローゼ症候群,1,0.049850448654037885
：不整脈,1,0.049850448654037885
：心不全,1,0.049850448654037885
：心筋梗塞,1,0.049850448654037885
：慢性腎臓病,1,0.049850448654037885
：慢性膵炎,1,0.049850448654037885
：熱傷,1,0.049850448654037885
：肝不全,1,0.049850448654037885
：肝硬変,1,0.049850448654037885
：肺塞栓症,1,0.049850448654037885
：脳炎,1,0.049850448654037885
：蕁麻疹,1,0.049850448654037885
選択できる,1,0.049850448654037885
過換気症候群,1,0.049850448654037885
転移性脳腫瘍,1,0.049850448654037885
貢献する,1,0.049850448654037885
腹水：ネフローゼ症候群,1,0.049850448654037885
腹水：肝硬変,1,0.049850448654037885
腹部膨隆（腹水を含む）・腫瘤,1,0.049850448654037885
膀胱癌,1,0.049850448654037885
自己免疫：気管支喘息,1,0.049850448654037885
良性発作性頭位めまい症,1,0.049850448654037885
薬剤性,1,0.049850448654037885
薬疹,1,0.049850448654037885
血管：脳梗塞,1,0.049850448654037885
表現できる,1,0.049850448654037885
褐色細胞腫,1,0.049850448654037885
見いだすことができる,1,0.049850448654037885
