id1,id2,text2,disc2
A,A-01,プロフェッショナリズム,
A,A-02,医学知識と問題対応能力,
A,A-03,診療技能と患者ケア,
A,A-04,コミュニケーション能力,
A,A-05,チーム医療の実践,
A,A-06,医療の質と安全の管理,
A,A-07,社会における医療の実践,
A,A-08,科学的探究,
A,A-09,生涯にわたって共に学ぶ姿勢,
B,B-01,集団に対する医療,
B,B-02,法医学と関連法規,
B,B-03,医学研究と倫理,
B,B-04,医療に関連のある社会科学領域,
C,C-01,生命現象の科学,
C,C-02,個体の構成と機能,
C,C-03,個体の反応,
C,C-04,病因と病態,
C,C-05,人の行動と心理,
D,D-01,血液・造血器・リンパ系,
D,D-02,神経系,
D,D-03,皮膚系,
D,D-04,運動器（筋骨格）系,
D,D-05,循環器系,
D,D-06,呼吸器系,
D,D-07,消化器系,
D,D-08,腎・尿路系（体液・電解質バランスを含む）,
D,D-09,生殖機能,
D,D-10,妊娠と分娩,
D,D-11,乳房,
D,D-12,内分泌・栄養・代謝系,
D,D-13,眼・視覚系,
D,D-14,耳鼻・咽喉・口腔系,
D,D-15,精神系,
E,E-01,遺伝医療・ゲノム医療,
E,E-02,感染症,
E,E-03,腫瘍,
E,E-04,免疫・アレルギー,
E,E-05,物理・化学的因子による疾患,
E,E-06,放射線の生体影響と放射線障害,
E,E-07,成長と発達,
E,E-08,加齢と老化,
E,E-09,人の死,
F,F-01,症候・病態からのアプローチ,
F,F-02,基本的診療知識,
F,F-03,基本的診療技能,
G,G-01,診療の基本,
G,G-02,臨床推論,
G,G-03,基本的臨床手技,
G,G-04,診療科臨床実習,
